Name,Country,Price,Security_Deposit,Review_Rating
"Minimalist Rooms in BCN, live it.",Spain,115.0,3500,10.0
Nice apartment for design lovers. Great terrace.,Spain,101.0,2500,10.0
Piso de lujo en Sagrada Familia,Spain,79.0,2300,9.0
ELEGANT APARTMENT CLOSE TO RAMBLAS,Spain,65.0,2250,9.0
Boqueria - Cosy studio in Born,Spain,76.0,2000,10.0
Quiet & Cozy,Spain,18.0,2000,10.0
Smart Studio next to El Born,Spain,40.0,2000,9.0
City centre loft with rooftop pool and terrace,Spain,150.0,2000,9.0
Newly renovated apartment in Barcelona Eixample,Spain,69.0,2000,9.0
Beautiful and bright flat in Born Barcelona,Spain,67.0,1800,10.0
